"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D320307","D320308","D3203082","D3203085","D3203086","D320309","D320310","D3203102","D3203103","D3203104","D3203105","D3203106","D3203107","D3203108","D320311","D320312","D320401","D320402","D320403","D320404","D320405","D320406","D320407","D320408","D320409"
"調査年 コード","調査年","地域 コード","地域","/項目","D320307_商工費（市町村財政）【千円】","D320308_土木費（市町村財政）【千円】","D3203082_道路橋りょう費（市町村財政）【千円】","D3203085_都市計画費（市町村財政）【千円】","D3203086_住宅費（市町村財政）【千円】","D320309_消防費（市町村財政）【千円】","D320310_教育費（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】","D3203103_中学校費（市町村財政）【千円】","D3203104_高等学校費（市町村財政）【千円】","D3203105_特別支援学校費（市町村財政）【千円】","D3203106_幼稚園費（市町村財政）【千円】","D3203107_社会教育費（市町村財政）【千円】","D3203108_保健体育費（市町村財政）【千円】","D320311_災害復旧費（市町村財政）【千円】","D320312_公債費（市町村財政）（目的別歳出内訳）【千円】","D320401_人件費（市町村財政）【千円】","D320402_物件費（市町村財政）【千円】","D320403_維持補修費（市町村財政）【千円】","D320404_扶助費（市町村財政）【千円】","D320405_補助費等（市町村財政）【千円】","D320406_普通建設事業費（市町村財政）【千円】","D320407_災害復旧事業費（市町村財政）【千円】","D320408_失業対策事業費（市町村財政）【千円】","D320409_公債費（市町村財政）（性質別歳出内訳）【千円】"
"2021100000","2021年度","14152","神奈川県 相模原市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14153","神奈川県 相模原市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15100","新潟県 新潟市","","17,766,403","66,108,588","25,046,574","30,803,633","1,417,487","9,957,679","71,562,721","25,891,871","16,068,252","1,611,130","1,821,617","482,595","6,738,775","7,398,870","0","48,562,734","93,014,708","53,835,383","6,945,354","102,676,328","41,577,175","44,210,803","0","0","48,386,034"
"2021100000","2021年度","15101","新潟県 新潟市 北区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15102","新潟県 新潟市 東区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15103","新潟県 新潟市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15104","新潟県 新潟市 江南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15105","新潟県 新潟市 秋葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15106","新潟県 新潟市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15107","新潟県 新潟市 西区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15108","新潟県 新潟市 西蒲区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
