"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","D2201","D2209","D320101","D320102","D320108","D320113","D320121","D3203","D320301","D320302","D320303","D3203031","D3203032","D3203033","D3203034","D3203035","D320304","D3203042","D3203043","D3203044","D320305","D3203051","D320306"
"調査年 コード","調査年","地域 コード","地域","/項目","D2201_財政力指数（市町村財政）【‐】","D2209_一般財源（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D3203_歳出決算総額（市町村財政）【千円】","D320301_議会費（市町村財政）【千円】","D320302_総務費（市町村財政）【千円】","D320303_民生費（市町村財政）【千円】","D3203031_社会福祉費（市町村財政）【千円】","D3203032_老人福祉費（市町村財政）【千円】","D3203033_児童福祉費（市町村財政）【千円】","D3203034_生活保護費（市町村財政）【千円】","D3203035_災害救助費（市町村財政）【千円】","D320304_衛生費（市町村財政）【千円】","D3203042_保健衛生費（市町村財政）【千円】","D3203043_保健所費（市町村財政）【千円】","D3203044_清掃費（市町村財政）【千円】","D320305_労働費（市町村財政）【千円】","D3203051_失業対策費（市町村財政）【千円】","D320306_農林水産業費（市町村財政）【千円】"
"2021100000","2021年度","14118","神奈川県 横浜市 都筑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14130","神奈川県 川崎市","","1.02","374,764,850","364,605,509","3,074,336","3,732,290","203,067,438","56,857,500","786,995,809","1,731,274","54,114,548","303,222,043","60,402,935","36,761,284","144,027,202","62,015,417","15,205","97,678,993","63,391,361","2,881,141","31,302,395","855,862","0","482,265"
"2021100000","2021年度","14131","神奈川県 川崎市 川崎区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14132","神奈川県 川崎市 幸区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14133","神奈川県 川崎市 中原区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14134","神奈川県 川崎市 高津区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14135","神奈川県 川崎市 多摩区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14136","神奈川県 川崎市 宮前区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14137","神奈川県 川崎市 麻生区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14150","神奈川県 相模原市","","0.86","157,669,351","129,575,345","1,742,078","24,545,286","89,621,341","26,521,800","317,528,162","925,999","22,291,565","141,307,827","37,489,791","16,861,433","61,964,274","24,976,500","15,829","32,844,807","21,850,837","1,155,114","9,719,199","454,678","0","729,478"
"2021100000","2021年度","14151","神奈川県 相模原市 緑区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14152","神奈川県 相模原市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","14153","神奈川県 相模原市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15100","新潟県 新潟市","","0.67","207,859,157","132,094,399","3,282,825","69,966,517","106,153,286","43,996,300","438,857,264","935,000","29,243,990","148,467,668","39,164,621","25,021,042","66,323,520","17,948,809","9,676","37,801,940","25,330,656","1,285,694","11,133,526","1,471,375","0","6,979,166"
"2021100000","2021年度","15101","新潟県 新潟市 北区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15102","新潟県 新潟市 東区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15103","新潟県 新潟市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15104","新潟県 新潟市 江南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15105","新潟県 新潟市 秋葉区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15106","新潟県 新潟市 南区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15107","新潟県 新潟市 西区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","15108","新潟県 新潟市 西蒲区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","22100","静岡県 静岡市","","0.87","168,997,568","137,874,554","2,435,792","26,237,972","85,266,465","36,043,900","353,330,636","1,003,619","30,806,867","119,627,782","32,469,319","21,279,496","49,546,582","16,329,025","3,360","41,332,678","30,908,282","712,907","9,627,767","634,511","0","3,874,450"
"2021100000","2021年度","22101","静岡県 静岡市 葵区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","22102","静岡県 静岡市 駿河区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","22103","静岡県 静岡市 清水区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","22130","静岡県 浜松市","","0.85","187,026,455","145,001,157","3,684,027","35,026,248","94,136,687","29,461,800","383,252,465","890,558","29,822,899","131,304,240","33,000,345","22,618,897","63,460,995","12,209,581","14,422","35,770,801","21,704,267","445,515","13,541,901","388,319","0","7,201,495"
"2021100000","2021年度","22138","静岡県 浜松市 中央区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","22139","静岡県 浜松市 浜名区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","22140","静岡県 浜松市 天竜区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","23100","愛知県 名古屋市","","0.98","619,817,826","583,542,312","6,200,621","21,048,561","309,896,551","106,895,000","1,378,101,394","2,073,099","76,729,760","525,530,175","155,120,961","77,531,231","207,047,394","85,734,188","96,401","119,217,884","78,643,132","5,955,858","33,979,006","205,986","0","1,399,280"
"2021100000","2021年度","23101","愛知県 名古屋市 千種区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021100000","2021年度","23102","愛知県 名古屋市 東区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
