"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","C620101","C620105","C620106","C620107","C620108","C620109","C620110","C620111","C620114","C620115","C620116","C620117","C620118","C620119","C620120","C620121","C620122"
"調査年 コード","調査年","地域 コード","地域","/項目","C620101_純付加価値額（民営）（農林漁業）【百万円】","C620105_純付加価値額（民営）（鉱業、採石業、砂利採取業）【百万円】","C620106_純付加価値額（民営）（建設業）【百万円】","C620107_純付加価値額（民営）（製造業）【百万円】","C620108_純付加価値額（民営）（電気・ガス・熱供給・水道業）【百万円】","C620109_純付加価値額（民営）（情報通信業）【百万円】","C620110_純付加価値額（民営）（運輸業、郵便業）【百万円】","C620111_純付加価値額（民営）（卸売業、小売業）【百万円】","C620114_純付加価値額（民営）（金融業、保険業）【百万円】","C620115_純付加価値額（民営）（不動産業、物品賃貸業）【百万円】","C620116_純付加価値額（民営）（学術研究、専門・技術サービス業）【百万円】","C620117_純付加価値額（民営）（宿泊業、飲食サービス業）【百万円】","C620118_純付加価値額（民営）（生活関連サービス業、娯楽業）【百万円】","C620119_純付加価値額（民営）（教育、学習支援業）【百万円】","C620120_純付加価値額（民営）（医療、福祉）【百万円】","C620121_純付加価値額（民営）（複合サービス事業）【百万円】","C620122_純付加価値額（民営）（サービス業（他に分類されないもの））【百万円】"
"2020100000","2020年度","22139","静岡県 浜松市 浜名区","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020100000","2020年度","22140","静岡県 浜松市 天竜区","","1,120","X","4,153","11,743","X","37","413","2,730","906","303","6,252","821","613","63","5,937","1,317","1,409"
"2020100000","2020年度","23100","愛知県 名古屋市","","1,937","3","746,697","787,593","178,849","665,322","340,438","1,906,180","474,295","410,855","489,731","174,237","114,000","220,262","672,928","36,931","615,842"
"2020100000","2020年度","23101","愛知県 名古屋市 千種区","","8","0","20,176","15,648","X","9,802","4,137","87,363","13,350","18,950","12,510","9,752","7,234","59,240","40,157","X","14,003"
"2020100000","2020年度","23102","愛知県 名古屋市 東区","","X","0","79,849","60,028","X","111,359","13,153","150,079","19,084","26,472","44,721","8,545","4,120","10,461","26,497","3,266","47,484"
"2020100000","2020年度","23103","愛知県 名古屋市 北区","","X","0","35,486","22,085","X","4,240","27,627","65,932","7,108","12,329","13,419","9,725","7,058","5,979","49,378","2,537","16,160"
"2020100000","2020年度","23104","愛知県 名古屋市 西区","","146","0","37,635","38,563","338","63,443","13,457","126,302","12,712","19,739","61,629","10,298","5,268","8,497","36,862","4,516","36,749"
"2020100000","2020年度","23105","愛知県 名古屋市 中村区","","0","0","113,203","79,736","X","162,230","41,665","310,408","45,008","96,727","83,998","20,545","17,465","22,853","91,613","X","143,280"
"2020100000","2020年度","23106","愛知県 名古屋市 中区","","41","0","191,823","30,366","36,288","277,054","20,410","552,728","320,121","127,747","151,257","48,391","26,991","16,079","47,696","1,367","194,742"
"2020100000","2020年度","23107","愛知県 名古屋市 昭和区","","176","0","25,612","13,394","120","2,998","3,743","57,974","5,163","9,442","11,305","5,893","3,482","24,511","54,820","529","17,155"
"2020100000","2020年度","23108","愛知県 名古屋市 瑞穂区","","26","0","11,393","81,879","X","2,021","3,509","45,175","4,893","13,615","8,146","5,617","3,777","13,665","27,786","X","11,417"
"2020100000","2020年度","23109","愛知県 名古屋市 熱田区","","0","0","21,565","25,683","X","6,873","23,890","62,305","-1,746","8,983","21,563","5,889","2,485","6,438","23,680","X","20,745"
