"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","A1101","A161001","A6108","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103","#A01202","#A03504","#A03505","#A03506","#B01301"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A161001_未婚者割合（15歳以上人口）【％】","A6108_昼夜間人口比率【％】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】","#A01202_可住地面積１km2当たり人口密度【人】","#A03504_15歳未満人口割合【％】","#A03505_15～64歳人口割合【％】","#A03506_65歳以上人口割合【％】","#B01301_可住地面積割合【％】"
"2023100000","2023年度","23101","愛知県 名古屋市 千種区","","***","***","***","1,818","1,725","0","***","***","***","***","***","***","***","***","***","94.9"
"2023100000","2023年度","23102","愛知県 名古屋市 東区","","***","***","***","771","771","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23103","愛知県 名古屋市 北区","","***","***","***","1,753","1,753","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23104","愛知県 名古屋市 西区","","***","***","***","1,793","1,793","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23105","愛知県 名古屋市 中村区","","***","***","***","1,630","1,630","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23106","愛知県 名古屋市 中区","","***","***","***","938","938","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23107","愛知県 名古屋市 昭和区","","***","***","***","1,094","1,080","0","***","***","***","***","***","***","***","***","***","98.7"
"2023100000","2023年度","23108","愛知県 名古屋市 瑞穂区","","***","***","***","1,122","1,118","0","***","***","***","***","***","***","***","***","***","99.6"
"2023100000","2023年度","23109","愛知県 名古屋市 熱田区","","***","***","***","820","820","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23110","愛知県 名古屋市 中川区","","***","***","***","3,202","3,202","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23111","愛知県 名古屋市 港区","","***","***","***","4,569","4,569","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23112","愛知県 名古屋市 南区","","***","***","***","1,846","1,846","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","23113","愛知県 名古屋市 守山区","","***","***","***","3,401","3,017","0","***","***","***","***","***","***","***","***","***","88.7"
"2023100000","2023年度","23114","愛知県 名古屋市 緑区","","***","***","***","3,791","3,636","0","***","***","***","***","***","***","***","***","***","95.9"
"2023100000","2023年度","23115","愛知県 名古屋市 名東区","","***","***","***","1,945","1,813","0","***","***","***","***","***","***","***","***","***","93.2"
"2023100000","2023年度","23116","愛知県 名古屋市 天白区","","***","***","***","2,158","1,979","0","***","***","***","***","***","***","***","***","***","91.7"
"2023100000","2023年度","26100","京都府 京都市","","***","***","***","82,783","21,838","0","***","***","***","***","***","***","***","***","***","26.4"
"2023100000","2023年度","26101","京都府 京都市 北区","","***","***","***","9,488","1,607","0","***","***","***","***","***","***","***","***","***","16.9"
"2023100000","2023年度","26102","京都府 京都市 上京区","","***","***","***","703","703","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","26103","京都府 京都市 左京区","","***","***","***","24,677","3,171","0","***","***","***","***","***","***","***","***","***","12.9"
"2023100000","2023年度","26104","京都府 京都市 中京区","","***","***","***","741","741","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","26105","京都府 京都市 東山区","","***","***","***","748","593","0","***","***","***","***","***","***","***","***","***","79.3"
"2023100000","2023年度","26106","京都府 京都市 下京区","","***","***","***","678","678","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","26107","京都府 京都市 南区","","***","***","***","1,581","1,581","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","26108","京都府 京都市 右京区","","***","***","***","29,207","3,843","0","***","***","***","***","***","***","***","***","***","13.2"
"2023100000","2023年度","26109","京都府 京都市 伏見区","","***","***","***","6,166","4,718","0","***","***","***","***","***","***","***","***","***","76.5"
"2023100000","2023年度","26110","京都府 京都市 山科区","","***","***","***","2,870","1,521","0","***","***","***","***","***","***","***","***","***","53.0"
"2023100000","2023年度","26111","京都府 京都市 西京区","","***","***","***","5,924","2,682","0","***","***","***","***","***","***","***","***","***","45.3"
"2023100000","2023年度","27100","大阪府 大阪市","","***","***","***","22,533","22,533","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27102","大阪府 大阪市 都島区","","***","***","***","608","608","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27103","大阪府 大阪市 福島区","","***","***","***","467","467","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27104","大阪府 大阪市 此花区","","***","***","***","1,930","1,930","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27106","大阪府 大阪市 西区","","***","***","***","521","521","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27107","大阪府 大阪市 港区","","***","***","***","786","786","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27108","大阪府 大阪市 大正区","","***","***","***","943","943","0","***","***","***","***","***","***","***","***","***","100.0"
